cf_id,contact_id,company_name,goal,pledged,outcome,backers_count,country,currency,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",100,0,failed,0,CA,CAD,cat1,subcat1
1621,3765,Odom Inc,1400,14560,successful,158,US,USD,cat2,subcat2
1812,4187,"Melton, Robinson and Fritz",108400,142523,successful,1425,AU,AUD,cat3,subcat3
2156,4941,"Mcdonald, Gonzalez and Ross",4200,2477,failed,24,US,USD,cat2,subcat2
1365,2199,Larson-Little,7600,5265,failed,53,US,USD,cat4,subcat4
2057,5650,Harris Group,7600,13195,successful,174,DK,DKK,cat4,subcat4
1894,5889,"Ortiz, Coleman and Mitchell",5200,1090,failed,18,GB,GBP,cat5,subcat5
2669,4842,Carter-Guzman,4500,14741,successful,227,DK,DKK,cat4,subcat4
1114,3280,Nunez-Richards,110100,21946,live,708,DK,DKK,cat4,subcat4
970,5468,"Rangel, Holt and Jones",6200,3208,failed,44,US,USD,cat2,subcat6
2340,3064,Green Ltd,5200,13838,successful,220,US,USD,cat5,subcat7
601,4904,"Perez, Johnson and Gardner",6300,3030,failed,27,US,USD,cat4,subcat4
1950,1299,Kim Ltd,6300,5629,failed,55,US,USD,cat5,subcat7
671,5602,"Walker, Taylor and Coleman",4200,10295,successful,98,US,USD,cat2,subcat8
1683,5753,"Rodriguez, Rose and Stewart",28200,18829,failed,200,US,USD,cat2,subcat8
505,4495,"Wright, Hunt and Rowe",81200,38414,failed,452,US,USD,cat3,subcat9
1245,4269,Hines Inc,1700,11041,successful,100,US,USD,cat6,subcat10
2550,2226,Cochran-Nguyen,84600,134845,successful,1249,US,USD,cat5,subcat11
875,1558,Johnson-Gould,9100,6089,canceled,135,US,USD,cat4,subcat4
2283,2307,Perez-Hess,62500,30331,failed,674,US,USD,cat4,subcat4
118,2900,"Reeves, Thompson and Richardson",131800,147936,successful,1396,US,USD,cat5,subcat7
711,5695,Simmons-Reynolds,94000,38533,failed,558,US,USD,cat4,subcat4
1747,5708,Collier Inc,59100,75690,successful,890,US,USD,cat4,subcat4
1825,1663,Gray-Jenkins,4500,14942,successful,142,GB,GBP,cat5,subcat5
1019,3605,"Scott, Wilson and Martin",92400,104257,successful,2673,US,USD,cat3,subcat9
821,4678,"Caldwell, Velazquez and Wilson",5500,11904,successful,163,US,USD,cat7,subcat12
2653,2251,Spencer-Bates,107500,51814,canceled,1480,US,USD,cat4,subcat4
2502,6202,"Best, Carr and Williams",2000,1599,failed,15,US,USD,cat2,subcat2
325,3715,"Campbell, Brown and Powell",130800,137635,successful,2220,US,USD,cat4,subcat4
1345,4242,"Johnson, Parker and Haynes",45900,150965,successful,1606,CH,CHF,cat5,subcat13
2303,4326,Clark-Cooke,9000,14455,successful,129,US,USD,cat5,subcat11
2224,5560,Schroeder Ltd,3500,10850,successful,226,GB,GBP,cat7,subcat12
1173,4002,Jackson PLC,101000,87676,failed,2307,IT,EUR,cat5,subcat5
210,3813,"Blair, Collins and Carter",50200,189666,successful,5419,US,USD,cat4,subcat4
1546,5336,Maldonado and Sons,9300,14025,successful,165,US,USD,cat5,subcat5
2871,4994,Mitchell and Sons,125500,188628,successful,1965,DK,DKK,cat5,subcat7
2034,1471,Jackson-Lewis,700,1101,successful,16,US,USD,cat4,subcat4
2677,4482,"Black, Armstrong and Anderson",8100,11339,successful,107,US,USD,cat6,subcat14
1865,3241,Maldonado-Gonzalez,3100,10085,successful,134,US,USD,cat8,subcat15
170,3477,Kim-Rice,9900,5027,failed,88,DK,DKK,cat4,subcat4
462,2265,"Garcia, Garcia and Lopez",8800,14878,successful,198,US,USD,cat3,subcat9
3122,5911,Watts Group,5600,11924,successful,111,IT,EUR,cat2,subcat2
1175,2288,Werner-Bryant,1800,7991,successful,222,US,USD,cat1,subcat1
2301,4064,Schmitt-Mendoza,90200,167717,successful,6212,US,USD,cat6,subcat16
91,1294,Reid-Mccullough,1600,10541,successful,98,DK,DKK,cat6,subcat14
87,5008,Woods-Clark,9500,4530,failed,48,US,USD,cat4,subcat4
1482,3604,"Vaughn, Hunt and Caldwell",3700,4247,successful,92,US,USD,cat2,subcat2
1711,3263,Bennett and Sons,1500,7129,successful,149,US,USD,cat4,subcat4
2294,5631,Lamb Inc,33300,128862,successful,2431,US,USD,cat4,subcat4
2389,2851,Casey-Kelly,7200,13653,successful,303,US,USD,cat2,subcat2
378,3714,"Jones, Taylor and Moore",100,2,failed,1,IT,EUR,cat2,subcat17
1213,1664,"Bradshaw, Gill and Donovan",158100,145243,failed,1467,GB,GBP,cat3,subcat9
29,5027,"Hernandez, Rodriguez and Clark",7200,2459,failed,75,US,USD,cat4,subcat4
2309,3070,Smith-Jones,8800,12356,successful,209,US,USD,cat5,subcat7
2101,4248,Roy PLC,6000,5392,failed,120,US,USD,cat3,subcat9
1057,2034,"Wright, Brooks and Villarreal",6600,11746,successful,131,US,USD,cat2,subcat18
2655,4085,"Flores, Miller and Johnson",8000,11493,successful,164,US,USD,cat3,subcat9
202,3569,"Bridges, Freeman and Kim",2900,6243,successful,201,US,USD,cat7,subcat12
2025,3889,Anderson-Perez,2700,6132,successful,211,US,USD,cat4,subcat4
2395,3136,"Wright, Fox and Marks",1400,3851,successful,128,US,USD,cat4,subcat4
1418,2103,Crawford-Peters,94200,135997,successful,1600,CA,CAD,cat4,subcat4
1905,2329,Romero-Hoffman,199200,184750,failed,2253,CA,CAD,cat4,subcat4
1969,3325,Sparks-West,2000,14452,successful,249,US,USD,cat3,subcat3
2430,3131,"Baker, Morgan and Brown",4700,557,failed,5,US,USD,cat4,subcat4
1291,4995,Mosley-Gilbert,2800,2734,failed,38,US,USD,cat3,subcat3
1934,3631,Berry-Boyer,6100,14405,successful,236,US,USD,cat4,subcat4
1225,5373,Sanders-Allen,2900,1307,failed,12,US,USD,cat4,subcat4
1363,3126,Lopez Inc,72600,117892,successful,4065,GB,GBP,cat3,subcat9
963,2194,Moreno-Turner,5700,14508,successful,246,IT,EUR,cat4,subcat4
1486,2906,Jones-Watson,7900,1901,canceled,17,US,USD,cat4,subcat4
676,2611,Barker Inc,128000,158389,successful,2475,IT,EUR,cat4,subcat4
2137,2374,"Tate, Bass and House",6000,6484,successful,76,US,USD,cat4,subcat4
2656,3254,"Hampton, Lewis and Ray",600,4022,successful,54,US,USD,cat5,subcat11
1556,3571,Collins-Goodman,1400,9253,successful,88,US,USD,cat2,subcat18
747,2812,Davis-Michael,3900,4776,successful,85,GB,GBP,cat2,subcat17
60,3961,"White, Torres and Bishop",9700,14606,successful,170,US,USD,cat8,subcat15
2459,3872,"Martin, Conway and Larsen",122900,95993,failed,1684,US,USD,cat4,subcat4
1903,4736,Acevedo-Huffman,9500,4460,failed,56,US,USD,cat5,subcat11
2003,5119,"Montgomery, Larson and Spencer",4500,13536,successful,330,US,USD,cat6,subcat19
2885,5725,Soto LLC,57800,40228,failed,838,US,USD,cat4,subcat4
2067,4037,"Sutton, Barrett and Tucker",1100,7012,successful,127,US,USD,cat7,subcat12
1610,2109,"Gomez, Bailey and Flores",16800,37857,successful,411,US,USD,cat2,subcat2
2909,3283,Porter-George,1000,14973,successful,180,GB,GBP,cat7,subcat12
1239,6181,Fitzgerald PLC,106400,39996,failed,1000,US,USD,cat2,subcat6
2480,3251,Cisneros-Burton,31400,41564,successful,374,US,USD,cat3,subcat9
2181,3443,"Hill, Lawson and Wilkinson",4900,6430,successful,71,AU,AUD,cat2,subcat8
2030,2988,Davis-Smith,7400,12405,successful,203,US,USD,cat4,subcat4
2311,1673,Farrell and Sons,198500,123040,failed,1482,AU,AUD,cat2,subcat2
2821,2085,Clark Group,4800,12516,successful,113,US,USD,cat6,subcat19
2468,1672,"White, Singleton and Zimmerman",3400,8588,successful,96,US,USD,cat4,subcat4
656,4426,Kramer Group,7800,6132,failed,106,US,USD,cat4,subcat4
2791,3211,"Frazier, Patrick and Smith",154300,74688,failed,679,IT,EUR,cat6,subcat19
1527,3190,"Santos, Bell and Lloyd",20000,51775,successful,498,CH,CHF,cat7,subcat12
1891,2081,Hall and Sons,108800,65877,canceled,610,US,USD,cat4,subcat4
580,3185,Hanson Inc,2900,8807,successful,180,GB,GBP,cat3,subcat3
682,5044,Sanchez LLC,900,1017,successful,27,US,USD,cat5,subcat5
3097,1883,Howard Ltd,69700,151513,successful,2331,US,USD,cat4,subcat4
873,2067,Stewart LLC,1300,12047,successful,113,US,USD,cat1,subcat1
1668,4604,"Arias, Allen and Miller",97800,32951,failed,1220,AU,AUD,cat7,subcat12
3076,3203,Baker-Morris,7600,14951,successful,164,US,USD,cat4,subcat4
3146,5758,"Tucker, Fox and Green",100,1,failed,1,US,USD,cat4,subcat4
253,5755,Douglas LLC,900,9193,successful,164,US,USD,cat2,subcat6
3088,5150,Garcia Inc,3700,10422,successful,336,US,USD,cat3,subcat9
393,4181,"Frye, Hunt and Powell",10000,2461,failed,37,IT,EUR,cat2,subcat6
2912,3006,"Smith, Wells and Nguyen",119200,170623,successful,1917,US,USD,cat2,subcat8
478,4865,Charles-Johnson,6800,9829,successful,95,US,USD,cat3,subcat3
1061,2862,"Brandt, Carter and Wood",3900,14006,successful,147,US,USD,cat4,subcat4
2957,6070,"Tucker, Schmidt and Reid",3500,6527,successful,86,US,USD,cat4,subcat4
2015,5300,Decker Inc,1500,8929,successful,83,US,USD,cat5,subcat5
1179,3486,Romero and Sons,5200,3079,failed,60,US,USD,cat5,subcat20
2568,5989,Castillo-Carey,142400,21307,failed,296,US,USD,cat1,subcat1
2869,2849,Hart-Briggs,61400,73653,successful,676,US,USD,cat6,subcat16
718,1612,Jones-Meyer,4700,12635,successful,361,AU,AUD,cat3,subcat3
1211,3307,"Wright, Hartman and Yu",3300,12437,successful,131,US,USD,cat1,subcat1
2431,5288,Harper-Davis,1900,13816,successful,126,US,USD,cat3,subcat9
468,6026,Barrett PLC,166700,145382,failed,3304,IT,EUR,cat6,subcat14
1862,2212,David-Clark,7200,6336,failed,73,US,USD,cat4,subcat4
2300,4591,Chaney-Dennis,4900,8523,successful,275,US,USD,cat5,subcat20
449,2771,"Robinson, Lopez and Christensen",5400,6351,successful,67,US,USD,cat8,subcat15
283,5682,Clark and Sons,5000,10748,successful,154,US,USD,cat5,subcat5
2484,5368,Vega Group,75100,112272,successful,1782,US,USD,cat7,subcat21
1490,3706,Brown-Brown,45300,99361,successful,903,US,USD,cat7,subcat12
186,4034,Taylor PLC,136800,88055,failed,3387,US,USD,cat6,subcat14
2999,3209,Edwards-Lewis,177700,33092,failed,662,CA,CAD,cat4,subcat4
